dataset_id,n_studies,n_with_nct,n_valid_author_year
CD000028_pub4_data,16,0,16
CD000143_pub2_data,9,0,9
CD000219_pub5_data,17,0,17
CD000478_pub5_data,10,0,10
CD000547_pub3_data,39,0,39
CD001072_pub2_data,1,0,1
CD001155_pub3_data,104,0,101
CD001321_pub7_data,38,0,38
CD001396_pub4_data,28,0,28
CD001431_pub6_data,188,0,188
CD001533_pub7_data,49,0,49
CD001552_pub3_data,14,0,14
CD001703_pub4_data,20,0,20
CD001797_pub4_data,8,0,8
CD001837_pub4_data,72,0,72
CD001909_pub4_data,14,0,14
CD001920_pub4_data,196,0,196
CD002042_pub6_data,66,0,66
CD002052_pub4_data,6,0,6
CD002112_pub2_data,81,0,80
CD002115_pub6_data,21,0,21
CD002122_pub3_data,32,0,32
CD002203_pub5_data,12,0,12
CD002243_pub5_data,78,0,78
CD002290_pub6_data,57,0,57
CD002303_pub4_data,8,0,8
CD002971_pub6_data,12,0,12
CD003129_pub2_data,5,0,5
CD003214_pub4_data,1,0,1
CD003216_pub3_data,32,0,32
CD003218_pub3_data,6,0,6
CD003331_pub6_data,55,0,55
CD003333_pub4_data,4,0,4
CD003357_pub5_data,9,0,9
CD003376_pub4_data,26,0,26
CD003414_pub4_data,29,0,29
CD003429_pub5_data,3,0,3
CD003451_pub3_data,28,0,28
CD003477_pub5_data,28,0,28
CD003511_pub6_data,8,0,8
CD003519_pub5_data,60,0,60
CD003594_pub7_data,26,0,26
CD003598_pub3_data,76,0,76
CD003743_pub3_data,1,0,1
CD003774_pub5_data,41,0,41
CD003833_pub5_data,8,0,8
CD003962_pub3_data,64,0,64
CD004184_pub3_data,25,0,25
CD004307_pub7_data,56,0,56
CD004372_pub3_data,3,0,3
CD004376_pub4_data,138,0,138
CD004406_pub6_data,18,1,17
CD004417_pub6_data,11,0,11
CD004508_pub5_data,7,0,7
CD004661_pub4_data,6,0,6
CD004667_pub6_data,17,0,17
CD004703_pub3_data,21,0,21
CD004736_pub6_data,41,0,41
CD004762_pub3_data,7,0,7
CD004871_pub5_data,30,0,30
CD004904_pub4_data,4,0,4
CD004925_pub4_data,11,0,11
CD004953_pub5_data,14,0,14
CD004992_pub4_data,8,0,8
CD005133_pub4_data,21,0,21
CD005187_pub6_data,4,0,4
CD005343_pub7_data,4,0,4
CD005495_pub5_data,34,0,34
CD005566_pub4_data,69,0,69
CD005582_pub5_data,5,0,5
CD005595_pub4_data,46,0,46
CD005951_pub5_data,19,0,19
CD006023_pub4_data,110,1,109
CD006027_pub3_data,29,0,29
CD006124_pub3_data,10,0,10
CD006140_pub3_data,20,0,20
CD006182_pub3_data,3,0,3
CD006185_pub6_data,101,0,101
CD006214_pub5_data,1,0,1
CD006257_pub2_data,81,0,81
CD006273_pub4_data,4,0,4
CD006404_pub5_data,20,0,20
CD006475_pub3_data,24,0,24
CD006515_pub2_data,2,0,2
CD006536_pub5_data,54,0,54
CD006606_pub5_data,4,0,4
CD006632_pub3_data,39,0,39
CD006689_pub3_data,14,0,14
CD006712_pub3_data,13,0,13
CD006714_pub3_data,3,0,3
CD006742_pub3_data,5,0,5
CD006839_pub5_data,8,0,8
CD006913_pub3_data,50,0,50
CD006919_pub5_data,40,0,40
CD006942_pub4_data,16,0,16
CD006982_pub5_data,12,0,12
CD007024_pub3_data,21,0,21
CD007026_pub7_data,6,0,6
CD007079_pub4_data,19,0,19
CD007110_pub4_data,9,0,0
CD007130_pub5_data,24,0,24
CD007156_pub3_data,24,0,24
CD007310_pub3_data,20,0,20
CD007374_pub3_data,8,0,8
CD007388_pub3_data,15,0,15
CD007491_pub3_data,9,0,9
CD007569_pub4_data,15,0,15
CD007572_pub4_data,8,0,8
CD007639_pub3_data,30,2,28
CD007674_pub3_data,20,0,20
CD007693_pub3_data,27,0,27
CD007784_pub3_data,44,0,44
CD007809_pub3_data,6,0,6
CD007837_pub3_data,12,0,12
CD007859_pub5_data,24,0,24
CD007872_pub4_data,3,0,3
CD007895_pub3_data,5,0,5
CD007896_pub4_data,56,0,56
CD008063_pub3_data,86,0,86
CD008145_pub4_data,34,0,34
CD008165_pub5_data,26,0,26
CD008176_pub3_data,78,0,78
CD008237_pub4_data,9,0,9
CD008309_pub3_data,8,0,8
CD008349_pub5_data,135,0,135
CD008469_pub3_data,16,0,16
CD008493_pub5_data,8,0,8
CD008552_pub8_data,42,0,42
CD008564_pub3_data,6,0,6
CD008628_pub3_data,11,0,11
CD008688_pub3_data,3,0,3
CD008709_pub4_data,55,0,55
CD008771_pub3_data,9,0,9
CD008858_pub5_data,8,1,7
CD008873_pub5_data,9,0,9
CD008879_pub3_data,15,0,15
CD008940_pub4_data,36,5,31
CD008973_pub3_data,14,0,14
CD008995_pub3_data,2,0,2
CD009022_pub4_data,11,0,11
CD009102_pub2_data,5,0,5
CD009235_pub4_data,61,0,61
CD009244_pub3_data,5,0,5
CD009252_pub2_data,31,0,31
CD009298_pub3_data,6,0,6
CD009362_pub4_data,49,0,49
CD009417_pub3_data,7,0,7
CD009508_pub2_data,50,0,50
CD009531_pub3_data,8,0,8
CD009535_pub3_data,22,0,22
CD009609_pub3_data,11,0,11
CD009679_pub3_data,15,0,15
CD009730_pub3_data,28,1,25
CD009749_pub3_data,28,0,28
CD009752_pub3_data,14,0,14
CD009788_pub3_data,10,0,10
CD009945_pub3_data,3,0,3
CD010001_pub4_data,45,0,45
CD010136_pub4_data,3,0,3
CD010145_pub2_data,27,0,27
CD010163_pub3_data,2,0,2
CD010189_pub3_data,9,0,9
CD010216_pub9_data,51,1,50
CD010290_pub4_data,15,0,15
CD010333_pub4_data,1,0,1
CD010441_pub3_data,5,0,5
CD010533_pub3_data,10,0,2
CD010583_pub6_data,10,0,10
CD010779_pub2_data,5,0,5
CD010856_pub3_data,17,0,17
CD010861_pub3_data,31,0,31
CD010966_pub4_data,32,7,25
CD011039_pub2_data,2,0,2
CD011044_pub3_data,53,0,53
CD011060_pub2_data,1,0,1
CD011120_pub3_data,16,1,15
CD011192_pub4_data,1,0,1
CD011197_pub3_data,20,0,20
CD011204_pub3_data,18,0,18
CD011218_pub2_data,8,0,8
CD011305_pub3_data,6,0,6
CD011330_pub2_data,11,0,11
CD011381_pub3_data,50,0,50
CD011468_pub2_data,2,0,2
CD011535_pub7_data,149,5,143
CD011575_pub3_data,4,0,4
CD011600_pub3_data,5,0,5
CD011624_pub3_data,4,0,4
CD011626_pub3_data,6,0,6
CD011627_pub3_data,14,0,14
CD011670_pub3_data,8,0,8
CD011671_pub3_data,16,0,16
CD011689_pub4_data,120,0,120
CD011762_pub2_data,48,2,46
CD011778_pub2_data,44,0,44
CD011793_pub3_data,14,0,14
CD011800_pub2_data,3,0,3
CD011806_pub2_data,19,0,19
CD011841_pub3_data,36,0,36
CD011851_pub3_data,11,0,11
CD011858_pub2_data,25,0,25
CD011866_pub3_data,64,0,64
CD011885_pub2_data,8,0,8
CD012067_pub3_data,50,0,50
CD012079_pub2_data,50,0,50
CD012152_pub4_data,2,0,2
CD012170_pub2_data,12,0,12
CD012178_pub2_data,5,0,5
CD012186_pub2_data,109,0,109
CD012214_pub3_data,7,0,7
CD012265_pub2_data,1,0,1
CD012268_pub2_data,18,0,18
CD012335_pub2_data,2,0,2
CD012397_pub2_data,4,0,4
CD012426_pub2_data,4,0,4
CD012429_pub2_data,2,1,1
CD012445_pub2_data,10,0,10
CD012503_pub3_data,21,0,21
CD012532_pub2_data,6,0,6
CD012570_pub2_data,11,0,10
CD012572_pub3_data,5,0,5
CD012586_pub2_data,169,1,169
CD012594_pub2_data,2,0,2
CD012609_pub2_data,8,0,8
CD012623_pub2_data,8,0,8
CD012635_pub2_data,16,0,16
CD012642_pub2_data,8,0,8
CD012693_pub3_data,26,0,26
CD012712_pub2_data,31,0,31
CD012718_pub2_data,24,0,24
CD012757_pub2_data,3,0,3
CD012850_pub2_data,35,0,35
CD012886_pub3_data,8,0,8
CD012891_pub2_data,20,0,20
CD012905_pub2_data,20,0,20
CD012925_pub2_data,18,0,18
CD012942_pub2_data,37,6,30
CD012967_pub2_data,3,0,3
CD012993_pub2_data,6,0,6
CD012997_pub3_data,4,0,4
CD013023_pub2_data,5,0,5
CD013038_pub3_data,7,0,7
CD013042_pub2_data,23,0,23
CD013051_pub3_data,13,0,13
CD013052_pub3_data,16,0,16
CD013053_pub3_data,6,0,6
CD013054_pub3_data,16,0,16
CD013055_pub3_data,3,0,3
CD013056_pub3_data,10,0,10
CD013057_pub3_data,2,0,2
CD013059_pub2_data,18,0,18
CD013071_pub2_data,28,0,28
CD013078_pub2_data,6,0,6
CD013105_pub2_data,29,0,29
CD013111_pub2_data,5,0,5
CD013158_pub2_data,3,0,3
CD013166_pub3_data,21,0,21
CD013197_pub2_data,40,0,40
CD013232_pub2_data,128,10,118
CD013255_pub2_data,45,0,45
CD013278_pub3_data,18,0,17
CD013284_pub2_data,8,0,8
CD013294_pub2_data,13,0,13
CD013295_pub2_data,99,1,98
CD013303_pub2_data,29,0,29
CD013329_pub2_data,2,0,2
CD013331_pub2_data,18,0,18
CD013332_pub2_data,31,1,30
CD013342_pub2_data,24,0,24
CD013344_pub2_data,11,0,11
CD013353_pub2_data,7,0,7
CD013355_pub2_data,4,0,4
CD013358_pub2_data,58,0,58
CD013366_pub2_data,12,0,12
CD013377_pub2_data,10,0,10
CD013396_pub2_data,18,0,18
CD013408_pub2_data,6,0,6
CD013414_pub2_data,10,0,10
CD013421_pub2_data,21,0,21
CD013425_pub2_data,57,0,57
CD013429_pub2_data,9,0,9
CD013445_pub2_data,42,0,42
CD013456_pub2_data,31,0,31
CD013462_pub3_data,14,0,14
CD013468_pub2_data,24,0,24
CD013474_pub2_data,10,0,10
CD013476_pub2_data,5,0,5
CD013508_pub3_data,21,0,21
CD013539_pub2_data,55,2,52
CD013541_pub2_data,25,0,25
CD013561_pub2_data,8,0,8
CD013571_pub2_data,12,0,12
CD013590_pub2_data,22,0,22
CD013591_pub2_data,13,0,13
CD013595_pub2_data,3,0,0
CD013613_pub2_data,8,0,8
CD013614_pub2_data,24,0,24
CD013631_pub2_data,29,0,29
CD013643_pub2_data,9,0,9
CD013672_pub2_data,7,0,7
CD013707_pub2_data,9,0,9
CD013715_pub2_data,9,0,9
CD013719_pub2_data,23,0,23
CD013726_pub2_data,13,0,13
CD013729_pub2_data,5,1,4
CD013731_pub2_data,6,0,6
CD013745_pub2_data,4,0,4
CD013748_pub2_data,8,0,8
CD013757_pub3_data,6,0,6
CD013758_pub2_data,11,0,11
CD013763_pub3_data,64,0,64
CD013764_pub2_data,6,0,6
CD013773_pub2_data,5,0,5
CD013774_pub2_data,5,0,5
CD013781_pub2_data,29,0,29
CD013789_pub2_data,8,0,8
CD013800_pub2_data,55,0,46
CD013801_pub2_data,11,0,11
CD013810_pub2_data,3,0,3
CD013816_pub2_data,9,0,9
CD013821_pub2_data,35,0,35
CD013822_pub2_data,14,1,13
CD013823_pub2_data,4,0,4
CD013827_pub2_data,13,0,13
CD013830_pub2_data,18,0,18
CD013834_pub2_data,21,0,21
CD013835_pub2_data,3,0,3
CD013844_pub2_data,33,0,33
CD013853_pub2_data,11,0,11
CD013857_pub2_data,1,0,1
CD013874_pub3_data,24,0,24
CD013875_pub2_data,12,0,12
CD014040_pub2_data,13,0,13
CD014089_data,9,0,9
CD014145_pub2_data,7,0,7
CD014160_pub2_data,2,0,2
CD014300_pub2_data,13,0,13
CD014428_pub2_data,13,0,13
CD014497_pub2_data,1,0,1
CD014541_pub2_data,7,0,7
CD014544_pub2_data,6,0,0
CD014573_data,5,0,5
CD014574_pub2_data,2,0,2
CD014580_pub2_data,7,0,7
CD014585_pub2_data,12,0,12
CD014594_pub2_data,9,0,9
CD014617_pub3_data,4,0,4
CD014623_pub2_data,2,1,1
CD014624_pub2_data,6,1,5
CD014666_pub2_data,11,0,11
CD014678_pub2_data,6,0,0
CD014687_pub2_data,6,0,6
CD014688_pub2_data,6,0,6
CD014713_pub2_data,10,0,10
CD014722_pub2_data,97,0,97
CD014736_pub2_data,6,0,6
CD014741_pub2_data,57,0,57
CD014755_pub2_data,2,0,2
CD014758_pub3_data,77,0,77
CD014762_pub2_data,6,0,6
CD014763_pub2_data,9,0,9
CD014769_pub2_data,27,0,27
CD014785_pub2_data,4,0,4
CD014792_pub2_data,8,0,8
CD014802_pub2_data,2,0,2
CD014803_pub2_data,5,0,5
CD014811_pub2_data,7,0,7
CD014820_pub2_data,20,0,20
CD014833_pub2_data,10,0,10
CD014844_pub2_data,6,0,6
CD014845_pub2_data,17,0,17
CD014852_pub2_data,36,0,36
CD014855_pub2_data,8,0,8
CD014861_pub2_data,5,0,5
CD014869_pub2_data,10,0,10
CD014871_pub2_data,7,0,7
CD014872_pub2_data,35,0,35
CD014889_pub2_data,6,0,6
CD014891_pub2_data,5,0,5
CD014914_pub2_data,28,0,28
CD014920_pub2_data,2,0,2
CD014923_pub2_data,3,0,3
CD014932_pub2_data,17,0,17
CD014935_pub2_data,4,0,4
CD014937_pub2_data,60,0,60
CD014941_pub2_data,2,0,2
CD014944_pub2_data,4,0,4
CD014959_pub2_data,5,0,5
CD014960_pub2_data,6,0,6
CD014964_pub2_data,64,2,62
CD014965_pub2_data,17,4,13
CD014966_pub2_data,35,0,35
CD014967_pub2_data,18,0,18
CD014999_pub2_data,2,0,2
CD015003_pub2_data,12,0,12
CD015014_pub2_data,31,0,31
CD015033_pub2_data,15,0,15
CD015038_pub2_data,13,0,13
CD015040_pub2_data,6,0,6
CD015042_pub2_data,7,0,7
CD015046_pub2_data,4,0,4
CD015060_pub2_data,12,0,12
CD015064_pub2_data,11,0,9
CD015066_pub2_data,3,0,3
CD015083_pub2_data,55,0,55
CD015084_pub2_data,7,0,7
CD015087_pub2_data,26,0,26
CD015101_data,5,0,5
CD015112_pub3_data,1,0,1
CD015120_pub2_data,46,0,46
CD015122_pub2_data,11,0,11
CD015123_pub2_data,5,5,0
CD015124_pub2_data,7,0,7
CD015134_pub2_data,6,0,6
CD015140_pub2_data,9,0,9
CD015145_pub2_data,20,1,19
CD015158_pub2_data,2,0,2
CD015160_pub2_data,10,0,10
CD015192_pub2_data,20,0,20
CD015213_pub2_data,33,0,33
CD015215_pub2_data,18,0,18
CD015219_pub2_data,24,0,24
CD015229_pub2_data,14,0,14
CD015252_pub2_data,9,0,8
CD015254_pub2_data,17,0,17
CD015255_pub2_data,23,0,23
CD015284_pub2_data,29,0,29
CD015313_pub2_data,1,0,1
CD015314_pub2_data,38,0,38
CD015326_pub2_data,56,0,56
CD015328_pub2_data,149,2,149
CD015330_pub2_data,54,1,53
CD015331_pub2_data,26,0,24
CD015332_pub2_data,4,0,4
CD015350_pub2_data,19,0,19
CD015373_pub2_data,28,1,27
CD015383_pub2_data,6,0,6
CD015387_pub2_data,25,0,24
CD015395_pub3_data,2,0,2
CD015432_pub2_data,35,0,35
CD015443_pub2_data,22,0,22
CD015448_pub2_data,13,0,13
CD015462_pub2_data,13,0,13
CD015476_pub2_data,15,0,15
CD015495_data,17,0,17
CD015514_pub2_data,3,0,3
CD015517_data,16,0,8
CD015518_data,18,0,11
CD015519_pub2_data,5,0,5
CD015520_data,12,0,12
CD015524_pub2_data,17,0,17
CD015526_pub2_data,2,0,2
CD015530_pub2_data,5,0,5
CD015532_data,23,0,23
CD015536_pub2_data,20,0,20
CD015551_pub2_data,9,0,8
CD015573_data,3,0,3
CD015584_pub2_data,14,0,14
CD015588_pub2_data,32,0,32
CD015592_pub3_data,5,0,5
CD015594_pub2_data,3,1,2
CD015636_pub2_data,1,0,1
CD015673_pub2_data,19,0,19
CD015698_pub2_data,9,0,9
CD015701_pub2_data,3,0,3
CD015711_pub2_data,3,0,3
CD015721_pub2_data,6,0,6
CD015746_pub2_data,15,0,15
CD015749_pub2_data,7,0,7
CD015751_pub2_data,7,1,6
CD015779_data,11,0,11
CD015786_pub2_data,5,0,5
CD015788_pub2_data,13,1,12
CD015790_pub2_data,17,0,17
CD015802_pub2_data,3,0,3
CD015804_pub2_data,9,1,7
CD015820_pub2_data,13,0,13
CD015824_pub2_data,9,0,9
CD015830_pub2_data,4,0,4
CD015849_pub2_data,28,0,28
CD015854_data,16,11,2
CD015855_data,13,1,5
CD015875_data,17,0,17
CD015877_data,2,0,2
CD015894_pub2_data,10,0,10
CD015932_pub2_data,21,0,21
CD015968_data,10,0,10
CD016001_data,26,0,26
CD016002_data,30,0,30
CD016031_data,24,0,24
CD016058_pub2_data,9,2,7
CD016064_data,82,0,82
CD016119_data,23,0,23
CD016120_data,6,0,6
CD016131_data,14,0,14
CD016136_data,30,0,30
CD016147_data,5,0,5
CD016148_data,17,0,17
CD016168_data,7,0,7
CD016211_data,4,0,4
CD016278_data,6,0,6
